id,pattern,mean,rule,example,tag
g1,"〜なり〜なり","或是……或是……","名词/动词辞书形 + なり","週末は映画を見るなり、本を読むなりしてゆっくりしたい。","举例"
g2,"〜に至るまで","甚至连……也","名词 + に至るまで","服装から話し方に至るまで、彼は父親によく似ている。","范围"
g3,"〜にかたくない","不难……","动词辞书形 + にかたくない","現場の混乱は想像にかたくない。","评价"
g4,"〜にもまして","比……更加","名词 + にもまして","今年は去年にもまして暑さが厳しい。","比较"
g5,"〜を皮切りに","以……为开端","名词 + を皮切りに","東京公演を皮切りに全国ツアーが始まる。","起点"
g6,"〜まみれ","沾满……，尽是……","名词 + まみれ","泥まみれになりながら子どもたちは遊んでいた。","状态"
g7,"〜ずくめ","净是……，全是……","名词 + ずくめ","今日は朝からいいことずくめだ。","状态"
g8,"〜極まる / 極まりない","极其……","形容动词词干 + 極まる","失礼極まる態度に皆が驚いた。","程度"
g9,"〜たる","作为……应有的","名词 + たる","教師たるもの、常に学び続けるべきだ。","立场"
g10,"〜べく","为了……，应当……","动词辞书形 + べく","問題を解決すべく、専門家を招いた。","书面"
g11,"〜べくもない","无法……","动词辞书形 + べくもない","当時の彼には未来を予測すべくもなかった。","否定"
g12,"〜んばかりだ","几乎要……","动词未然形 + んばかりだ","空は今にも泣き出さんばかりだ。","比喻"
g13,"〜んがために","为了……","动词未然形 + んがために","名誉を得んがために努力を重ねた。","目的"
g14,"〜に堪えない","不堪……，不值……","名词/动词辞书形 + に堪えない","見るに堪えないほど散らかっていた。","评价"
g15,"〜をものともせず","不把……当回事","名词 + をものともせず","彼は周囲の反対をものともせず挑戦した。","逆接"
g16,"〜とあって","正因为……","普通形 + とあって","連休初日とあって、駅は大混雑だった。","原因"
g17,"〜とあれば","如果是……的话","普通形 + とあれば","子どものためとあれば、親は何でもする。","条件"
g18,"〜たところで","即使……也","动词た形 + ところで","今さら謝ったところで、信頼は戻らない。","逆接"
g19,"〜たまでだ","只不过是……而已","普通形 + までだ","私は事実を言ったまでだ。","限定"
g20,"〜が早いか","刚一……就……","动词辞书形 + が早いか","彼はベルが鳴るが早いか教室を飛び出した。","瞬间"
g21,"〜そばから","刚……就……","动词辞书形/た形 + そばから","片づけるそばから散らかされる。","反复"
g22,"〜や否や","刚一……就……","动词辞书形 + や否や","彼は家に帰るや否や寝てしまった。","书面"
g23,"〜なり","一……就……","动词辞书形 + なり","彼は部屋に入るなり、窓を開けた。","书面"
g24,"〜かたがた","顺便……","名词 + かたがた","散歩かたがた、近所の店をのぞいた。","书面"
g25,"〜がてら","顺便……","动词ます形/名词 + がてら","買い物がてら、図書館に寄った。","顺便"
g26,"〜かいもなく","白费……","动词た形 + かいもなく","努力したかいもなく、不合格だった。","结果"
g27,"〜きらいがある","有……倾向","动词辞书形 + きらいがある","彼は物事を悲観的に考えるきらいがある。","倾向"
g28,"〜とみえる","看来……","普通形 + とみえる","彼はかなり疲れているとみえる。","推测"
g29,"〜ごとき","像……那样的","名词 + ごとき","私ごときが意見する立場ではありません。","书面"
g30,"〜ごとく","如同……一样","名词 + ごとく","風のごとく現れて去っていった。","比喻"
g31,"〜に足る","值得……","动词辞书形 + に足る","信頼に足る人物だ。","评价"
g32,"〜にたえる","经得起……","动词辞书形 + にたえる","鑑賞にたえる作品に仕上がった。","评价"
g33,"〜にひきかえ","与……相反","名词 + にひきかえ","兄が活発なのにひきかえ、弟はおとなしい。","比较"
g34,"〜とはいえ","虽说……但是","普通形 + とはいえ","春とはいえ、朝晩はまだ寒い。","逆接"
g35,"〜とは","竟然……","普通形 + とは","彼が辞職するとは思わなかった。","惊讶"
g36,"〜ともなく","无意中……","疑问词 + ともなく","窓の外を見るともなく見ていた。","无意识"
g37,"〜ともなると","一到……就……","普通形 + ともなると","年末ともなると、町は急に慌ただしくなる。","阶段"
g38,"〜ないではおかない","一定会……","动词未然形 + ないではおかない","その映画は多くの人を感動させないではおかない。","强烈结果"
g39,"〜ないまでも","虽不至于……但……","动词ない形 + までも","優勝しないまでも、入賞はしたい。","让步"
g40,"〜ならでは","只有……才有","名词 + ならでは","老舗ならではの落ち着いた雰囲気がある。","限定"
g41,"〜なりに","按照……的方式","名词/普通形 + なりに","彼なりに一生懸命考えたのだろう。","对应"
g42,"〜にあって","在……情况下","名词 + にあって","戦時にあっても文化は失われなかった。","书面"
g43,"〜にあたり","值此……之际","名词/动词辞书形 + にあたり","出発にあたり、一言ご挨拶申し上げます。","书面"
g44,"〜に即して","根据……，按照……","名词 + に即して","実情に即して制度を見直すべきだ。","依据"
g45,"〜に則って","按照……规则","名词 + に則って","規則に則って処理します。","依据"
g46,"〜に先駆けて","领先于……","名词 + に先駆けて","一般公開に先駆けて記者会見が行われた。","先行"
g47,"〜に先立ち","在……之前","名词/动词辞书形 + に先立ち","開会に先立ち、注意事項を説明します。","书面"
g48,"〜に際して","值此……之际","名词/动词辞书形 + に際して","契約に際して、条件をよく確認してください。","正式"
g49,"〜にしたって","就算说……","普通形 + にしたって","忙しいにしたって、連絡ぐらいできるはずだ。","口语"
g50,"〜にしろ〜にしろ","无论……还是……","普通形 + にしろ","行くにしろ行かないにしろ、早く決めてほしい。","选择"
g51,"〜にせよ〜にせよ","无论……还是……","普通形 + にせよ","賛成にせよ反対にせよ、理由を示してほしい。","书面"
g52,"〜にたえない","不胜……","名词 + にたえない","感謝にたえません。","情感"
g53,"〜にともない","随着……","名词/动词辞书形 + にともない","人口の増加にともない、住宅需要も高まった。","伴随"
g54,"〜にわたって","长达……，涉及……","名词 + にわたって","会議は三時間にわたって続いた。","范围"
g55,"〜ぬきで","不……，省去……","名词 + ぬきで","前置きぬきで本題に入ろう。","省略"
g56,"〜ぬきにしては","若不提……就……","名词 + ぬきにしては","彼の協力ぬきにしては成功しなかった。","假定"
g57,"〜のみならず","不仅……而且……","普通形 + のみならず","彼は日本語のみならず、中国語も堪能だ。","递进"
g58,"〜のもとで","在……之下","名词 + のもとで","新しい方針のもとで改革が進んでいる。","条件"
g59,"〜はおろか","别说……连……也……","名词 + はおろか","彼は英語はおろか、日本語もまだ十分ではない。","递进"
g60,"〜ばこそ","正因为……才……","动词ば形 + こそ","信頼していればこそ、厳しく指導するのだ。","强调"
